shot,t_end,t_peak,t_hi,t_lo,ipk,ip_end_frac,t_after_lo,flat_before,quench_duration_s,is_fast,n_bridge,flipped,d_ms,logd,bin,lo_rel_end
13016,0.48760000000000003,0.4134000000000001,0.4144000000000001,0.41580000000000006,752084.1875,0.007126026143225156,0.07179999999999997,0.0010000000000000009,0.0013999999999999,True,3,False,1.3999999999999,0.146128035678207,"(11000, 14000]",71.79999999999997
13040,0.5196000000000001,0.3006,0.405,0.4524,637877.5,0.005809207862452038,0.06720000000000004,0.10440000000000005,0.047399999999998,False,6,False,47.399999999998,1.6757783416740668,"(11000, 14000]",67.20000000000003
13060,0.47120000000000006,0.3964,0.3974,0.3992,867401.0625,0.004096326782081847,0.07200000000000006,0.0010000000000000009,0.0017999999999999,True,4,False,1.7999999999999,0.2552725051032819,"(11000, 14000]",72.00000000000006
13083,0.6016,0.3186,0.5074000000000001,0.5296000000000001,539840.25,0.003332243700726164,0.07199999999999995,0.18880000000000008,0.0221999999999975,False,4,False,22.199999999997498,1.3463529744505898,"(11000, 14000]",71.99999999999996
13109,0.38060000000000005,0.30500000000000005,0.3062,0.30879999999999996,1071570.5,0.004178379511806503,0.07180000000000009,0.0011999999999999789,0.0025999999999999,True,2,False,2.5999999999999,0.41497334797080127,"(11000, 14000]",71.80000000000008
13140,0.4266000000000001,0.35220000000000007,0.353,0.3548,1105811.375,-0.002221598769006265,0.07180000000000009,0.0007999999999999119,0.0017999999999999,True,2,False,1.7999999999999,0.2552725051032819,"(11000, 14000]",71.80000000000008
13224,0.44420000000000004,0.369,0.3698,0.37260000000000004,1076749.875,0.003945193693573682,0.0716,0.0008000000000000229,0.0027999999999998,True,0,False,2.7999999999998,0.4471580313421882,"(11000, 14000]",71.6
13259,0.4650000000000001,0.28680000000000005,0.372,0.39360000000000006,763046.9375,0.007680791835299123,0.07140000000000002,0.08519999999999994,0.0215999999999991,False,2,False,21.5999999999991,1.3344537511509127,"(11000, 14000]",71.40000000000002
13281,0.49760000000000004,0.42300000000000004,0.4236000000000001,0.4254,831223.5625,0.00473758459338594,0.07220000000000004,0.0006000000000000449,0.0017999999999999,True,2,False,1.7999999999999,0.2552725051032819,"(11000, 14000]",72.20000000000005
13316,0.5182000000000001,0.44320000000000004,0.44420000000000004,0.44600000000000006,1063453.5,0.0021214114777350396,0.07220000000000004,0.0010000000000000009,0.0017999999999999,True,3,False,1.7999999999999,0.2552725051032819,"(11000, 14000]",72.20000000000005
13341,0.32400000000000007,0.24860000000000002,0.24960000000000002,0.2528,1104917.0,0.0026837292717037794,0.07120000000000004,0.0010000000000000009,0.0032,True,0,False,3.2,0.505149978319906,"(11000, 14000]",71.20000000000005
13369,0.506,0.43100000000000005,0.43200000000000005,0.4344,1015745.8125,0.003927382101639848,0.0716,0.0010000000000000009,0.0023999999999999,True,3,False,2.3999999999999,0.38021124171158793,"(11000, 14000]",71.6
13409,0.39180000000000004,0.31700000000000006,0.31779999999999997,0.32100000000000006,1073856.0,-0.004772525712100831,0.07079999999999997,0.0007999999999999119,0.0031999999999999,True,0,False,3.1999999999999,0.5051499783198924,"(11000, 14000]",70.79999999999997
13433,0.517,0.4416000000000001,0.4428000000000001,0.4448000000000001,1205959.5,0.005486600639625543,0.07219999999999993,0.0011999999999999789,0.0019999999999999,True,2,False,1.9999999999998999,0.30102999566395944,"(11000, 14000]",72.19999999999993
13460,0.45000000000000007,0.37560000000000004,0.3762,0.3788,814007.4375,0.0010438535948189662,0.07120000000000004,0.0005999999999999339,0.0025999999999998,True,1,False,2.5999999999998,0.4149733479707845,"(11000, 14000]",71.20000000000005
